,album,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,id,name,popularity,preview_url,title_levenshtein,uri
2271,Where It's At,100.0,Dustin Lynch,Hell Of A NightDustin Lynch,24782.0,Dustin Lynch,2015-10-03,0.0,65.0,55.0,80.0,Hell Of A Night,16.0,4x7Di9FZJXJoxHjLxjImmp,Hell Of A Night,58.0,https://p.scdn.co/mp3-preview/e930d78e5ee15b73436891df148d85a04c111245?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4x7Di9FZJXJoxHjLxjImmp
2272,Sounds Good Feels Good (Deluxe),100.0,5 Seconds of Summer,She's Kinda Hot5 Seconds Of Summer,24784.0,5 Seconds Of Summer,2015-10-03,0.0,61.0,22.0,82.0,She's Kinda Hot,9.0,5fsQSDifYpjfbCqvZKPVBj,She's Kinda Hot,65.0,,100.0,spotify:track:5fsQSDifYpjfbCqvZKPVBj
2273,Trigga Reloaded,100.0,Trey Songz,About YouTrey Songz,24785.0,Trey Songz,2015-10-03,0.0,90.0,83.0,83.0,About You,3.0,2ssYQKMqVUkoQgi02PmDPB,About You,54.0,https://p.scdn.co/mp3-preview/87aaa60eab7bf7ddfdf8ae1bc5f470846b663a5f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2ssYQKMqVUkoQgi02PmDPB
2274,Real Life,100.0,Jake Owen,Real LifeJake Owen,24791.0,Jake Owen,2015-10-03,0.0,93.0,74.0,89.0,Real Life,13.0,5NUvj4WX2tAQGxOF4CWJ7I,Real Life,52.0,https://p.scdn.co/mp3-preview/2cad4cf43b6d7b218dc83206f1e11a9e21cf3edb?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:5NUvj4WX2tAQGxOF4CWJ7I
2275,Unbreakable Smile,100.0,Tori Kelly,Should've Been UsTori Kelly,24793.0,Tori Kelly,2015-10-03,0.0,68.0,51.0,91.0,Should've Been Us,10.0,5SUKnxEQaFFeudmI4qYLd9,Should’ve Been Us,53.0,,94.0,spotify:track:5SUKnxEQaFFeudmI4qYLd9
2276,JEKYLL + HYDE,100.0,Zac Brown Band,Loving You EasyZac Brown Band,24795.0,Zac Brown Band,2015-10-03,0.0,89.0,40.0,93.0,Loving You Easy,17.0,69XcvSymPaTke2Qb6f3W6P,Loving You Easy,65.0,,100.0,spotify:track:69XcvSymPaTke2Qb6f3W6P
2277,Beauty Behind The Madness,96.0,"The Weeknd, Lana Del Rey",PrisonerThe Weeknd Featuring Lana Del Rey,24798.0,The Weeknd Featuring Lana Del Rey,2015-10-03,0.0,77.0,47.0,96.0,Prisoner,3.0,1gZADNt16Oh23jWyMYRk4p,Prisoner,63.0,,100.0,spotify:track:1gZADNt16Oh23jWyMYRk4p
2278,Beauty Behind The Madness,95.0,"The Weeknd, Ed Sheeran",Dark TimesThe Weeknd Featuring Ed Sheeran,24800.0,The Weeknd Featuring Ed Sheeran,2015-10-03,0.0,91.0,91.0,98.0,Dark Times,3.0,6J7PIkhtHwmFjPLq0SyuPj,Dark Times,67.0,,100.0,spotify:track:6J7PIkhtHwmFjPLq0SyuPj
2279,True Colors,94.0,"Zedd, Jon Bellion",Beautiful NowZedd Featuring Jon Bellion,24876.0,Zedd Featuring Jon Bellion,2015-09-26,0.0,71.0,64.0,74.0,Beautiful Now,14.0,2ISSQPb9LHHiV6ng2NXosL,Beautiful Now,69.0,,100.0,spotify:track:2ISSQPb9LHHiV6ng2NXosL
2280,Beauty Behind The Madness,100.0,The Weeknd,Real LifeThe Weeknd,24881.0,The Weeknd,2015-09-26,0.0,62.0,62.0,79.0,Real Life,2.0,03j354P848KtNU2FVSwkDG,Real Life,61.0,,100.0,spotify:track:03j354P848KtNU2FVSwkDG
2281,Descendants (Original TV Movie Soundtrack),97.0,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson","Rotten To The CoreDove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",24882.0,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",2015-09-26,0.0,80.0,38.0,80.0,Rotten To The Core,6.0,2bNxCVI4Fub8BAwr0CQDyd,Rotten to the Core,64.0,,100.0,spotify:track:2bNxCVI4Fub8BAwr0CQDyd
